Y,Bacteria,Archaea,Functional_gene_diversity,Arch-amoA,Bac-amoA,comammox,nirK,nirS,nrfA,nosZI,nosZII,n.damo,nifH,,,X,Latitude,Longitude,pH,VPG,OrM,Water_content,P,K,Ca,Mg,NO3,NH4,N,C,C.N,Water_table,Soil_temperature,MAT,MAP
Iceland_fen_1,10.856376,9.601619,1.084675522,4.860148,5.307614,3.11773,9.523638,8.398717,5.98233,7.691684,7.94841,5.976602,9.838501,,,Iceland_fen_1,64.34564,-15.492474,NA,10,0.38,0.8975,-0.057991947,NA,NA,NA,-0.483464626,0.537378283,0.067256889,1.321857232,1.244509145,2.2955671,1.062581984,3.6,3.139564266
Khabarovsk_drained_fen,10.685366,9.296906,0.926542018,7.529041,6.650958,1,10.10735,7.735761,1,8.273299,7.361183,7.527224,9.068493,,,Khabarovsk_drained_fen,48.49355,135.396294,3.78,10,0.166666667,0.440633333,1.197739886,2.191702464,2.72946178,2.198088651,-0.248207848,-0.41945515,-0.264933651,0.853900916,1.118834567,2,1.494154594,2.2,2.829946696
Khabarovsk_fen,10.764146,9.550633,1.260115535,5.445557,7.777344,1,8.614104,7.315748,4.776727,8.131027,1,5.978238,9.20406,,,Khabarovsk_fen,48.497288,135.412626,3.861694444,4.021978022,0.45881062,0.771342662,1.699405528,2.435696065,3.282371887,2.595728494,0.905853872,1.405965282,0.03200731,1.419544465,1.387537155,2.252339066,1.259320069,2.2,2.828015064
Kyrgyzstan_drained_fen,10.874201,9.414764,1.015774947,6.35017,6.720249,6.099818,10.276646,8.922913,5.187304,8.488007,7.416676,6.860314,10.505656,,,Kyrgyzstan_drained_fen,41.7612,75.3748,7.095,5,0.376666667,0.745,1.871358849,2.324347629,3.83907562,2.775184317,-0.060480747,0.633131663,0.16879202,1.36601805,1.200578609,2.135132651,1.06320822,-1.1,2.492760389
Kyrgyzstan_fen_1,11.130669,9.746501,0.867042252,2.910258,5.099862,4.848702,9.94525,8.659598,5.507403,7.459746,7.799907,6.705386,10.31175,,,Kyrgyzstan_fen_1,41.9442,75.4276,5.926666667,4,0.585,0.935,1.429025157,2.597967448,3.906150005,2.854386009,-0.933053209,0.563876438,0.141449773,1.518557806,1.390474766,2.286680969,1.101517955,-0.9,2.445604203
Kyrgyzstan_fen_2,11.292147,10.0153,0.901105911,3.25986,5.631643,3.204934,10.047076,8.881348,5.834437,7.627693,7.849412,7.072888,10.722498,,,Kyrgyzstan_fen_2,41.894,75.350298,6.333333333,1.833333334,0.615,0.921666667,1.614879647,2.532699187,3.910341541,2.875648611,-0.429846388,1.078154616,0.176091259,1.529537289,1.401617702,2.2955671,0.799340549,-2.1,2.664641976
Mexico_chinampa_1,10.545617,9.543709,1.4301679,7.828619,7.121863,5.966458,9.212714,7.999292,3.872522,7.187288,8.389223,5.854635,8.544568,,,Mexico_chinampa_1,19.29,-99.09,7.068888889,NA,0.092222222,0.445098444,2.569529962,2.799570274,3.647776222,3.194233663,2.192288303,0.556824948,-0.245821609,0.944071755,1.152183405,1.637934248,1.265865579,16.7,2.875639937
Mexico_chinampa_2,10.681205,9.782944,1.60562841,8.06691,7.99944,5.897915,9.142656,8.383062,4.984149,7.498882,7.952104,5.073418,8.791414,,,Mexico_chinampa_2,19.29,-99.09,7.498888889,5,0.147777778,0.620784044,2.338013562,3.13503012,3.627832222,3.346302978,1.966712071,0.56014584,-0.068881289,1.063881809,1.133698731,1.698970004,1.163691326,16.7,2.875639937
Mexico_fen,10.966137,9.880738,1.217904675,7.31121,7.257438,7.175419,9.914602,9.35564,5.590322,8.370696,8.891591,6.886929,9.817922,,,Mexico_fen,19.2862,-99.093,7.141111111,1,0.248888889,0.842500244,3.536773012,2.805296916,3.694917038,3.390972376,0.404339487,1.173276939,0.178337338,1.215843105,1.038339592,2.284054558,1.090689037,16.7,2.875061263
Montana_Bog_1,10.853152,8.705527,0.77297911,3.605627,4.133322,1,10.194345,7.883971,5.148571,8.45916,7.69126,6.431758,9.961168,,,Montana_Bog_1,45.524884,-111.018086,4.782222222,NA,0.661111111,0.734677778,2.388667492,2.809417545,3.62386009,2.870495593,-0.773256928,1.549873432,0.343233484,1.820289054,1.475293532,2.09806659,1.152288344,4.1,2.627365857
Montana_bog_2,10.859746,9.428146,1.14258772,7.214748,6.798024,5.761459,10.31544,9.187128,5.726878,8.02147,8.643783,6.937826,9.905751,,,Montana_bog_2,45.582581,-111.661221,6.243333333,NA,0.616666667,0.567922222,1.917517179,2.424845353,3.764614441,3.133655272,0.67105965,0.609404668,0.219497205,1.54687155,1.327667932,2.104373288,1.249062407,6.8,2.450249108
Morocco_bog_1,10.167475,8.844121,0.952054204,6.417103,5.415963,3.958688,9.068489,6.5765,5.975623,7.019084,7.795622,6.343801,8.943708,,,Morocco_bog_1,35.2703,-6.0528,4.256666667,NA,0.09,0.8432629,1.069421409,1.844062773,2.45591024,2.061326797,-1.657577319,0.895017163,-0.585026652,0.753072124,1.338098776,2.276461804,1.336459734,17.9,2.851258349
Morocco_bog_2,10.467449,8.799028,1.105581277,7.616916,4.77959,4.248223,9.699994,7.513371,5.411846,7.783365,8.320375,6.286978,9.24364,,,Morocco_bog_2,35.1866,-5.3622,3.794444444,NA,0.177222222,0.889678656,0.804025787,2.081227254,2.381185301,2.006907956,-1.756961951,1.05940352,-0.168201299,1.019600878,1.179317836,2.301029996,1.214843848,15.1,2.897077003
Myanmar_drained_fen_1,10.5537,9.525068,1.538117485,7.412138,6.78501,5.952266,8.984265,8.44729,4.659128,7.871071,8.530985,4.880961,9.1466,,,Myanmar_drained_fen_1,20.64389675,96.891379,7.240833334,5,0.331666667,0.695,2.03531965,2.25999184,3.906690971,3.219881289,1.519499853,0.409228443,0.127374798,1.307204747,1.180654609,2.235528447,1.222716471,22.9,3.01745073
Myanmar_drained_fen_2,11.055692,10.192469,1.520740271,8.373746,7.06484,6.265817,9.836776,8.919094,5.236419,8.50257,9.222433,6.759334,9.635738,,,Myanmar_drained_fen_2,20.63281033,96.90526433,6.424444444,4.333333333,0.424444444,0.853333333,2.044666041,2.417693074,3.8405835,3.154173665,1.325333187,1.156515499,0.229027334,1.396251023,1.171787903,2.22444673,1.19926748,22.9,3.039810554
Myanmar_fen,11.623707,10.563723,1.163418337,8.449221,7.119865,6.720854,10.238452,9.593972,6.094062,8.858526,9.640216,6.742522,10.571634,,,Myanmar_fen,20.6238465,96.911733,6.763333334,1,0.586666667,0.853333334,2.273522113,2.753965866,3.921498327,3.081857166,0.461648568,1.539598778,0.372912003,1.546604349,1.176489325,2.293362555,1.14973216,22.9,3.051731196
New_Zealand_drained_fen_1,10.689556,8.950817,1.564421242,7.996733,7.235453,1,8.774547,7.592268,4.71718,7.311965,8.174363,5.741759,9.408291,,,New_Zealand_drained_fen_1,-37.4333,175.55,4.236666667,5,0.563333333,0.24,2.092685563,2.433631179,3.49610823,2.625350184,1.391464412,1.640911874,0.272615061,1.491361694,1.218746633,2.177055287,1.333111263,15.2,3.105510185
New_Zealand_fen_1,10.293634,7.340738,0.292563017,1,4.262249,4.938928,8.295307,5.656529,4.465642,5.895118,1,5.610516,9.464638,,,New_Zealand_fen_1,-37.4333,175.55,3.61,2,0.83,0.796666667,1.683107103,2.80980653,2.792788444,2.696102904,0.089905111,1.252367514,-0.086186148,1.641143471,1.727329619,2.218360422,1.181843588,15.2,3.105510185
New_Zealand_fen_2,10.624325,9.196753,1.155760912,6.543577,6.734287,2.897238,9.436334,8.425204,5.081534,7.431093,7.718107,5.594283,9.877093,,,New_Zealand_fen_2,-46.5356,168.4334,4.251666667,3,0.61,0.805,2.243757141,2.843256663,3.342004636,2.745920166,1.139196687,1.866444878,0.196820744,1.532329641,1.336297978,2.24674471,1.158362492,10.7,3.047664195
Pantanal_pasture_1,9.832619,8.563511,1.032980304,5.903913,1,1,8.445737,6.77071,3.463543,7.011008,7.148872,4.954733,8.754297,,,Pantanal_pasture_1,-16.5054,-56.746,4.381666667,NA,0.011666667,0.7,-0.619788758,1.522509438,2.1775365,1.270989213,-1.582251592,0.142545884,-1.17609126,-0.245396871,0.929930839,2.25163822,1.403120521,26.5,3.107888025
Pantanal_pasture_2,10.089278,9.159864,1.049526878,6.246826,1,1,8.775112,6.967949,3.668454,7.812879,7.407356,5.209401,9.360012,,,Pantanal_pasture_2,-16.512,-56.7493,3.926666667,NA,0.033333333,0.9,0.330751877,1.78101297,2.198886085,1.456441952,-1.571325372,1.107023319,-0.69179142,0.31033922,1.002030999,2.33243846,1.383815366,26.5,3.108226656
Pantanal_pasture_3,10.367331,9.588135,1.32205608,6.549308,1,1,8.865023,7.613785,5.421555,7.86314,8.311276,4.987997,9.228255,,,Pantanal_pasture_3,-16.5398,-56.7234,3.741666667,NA,0.08,0.9,1.514481342,2.399228433,3.121107333,2.619362941,-1.373317532,1.764983921,-0.358195502,0.672097858,1.029754038,2.301029996,1.369525074,26.4,3.113943352
