,N2O,Latitude,pH,VPG,OrM,Water_content,NO3,NH4,C/N,Water_table,MAT,MAP,nirK,nirS,nosZI,nosZII,Bacterial_amoA,Archaeal_amoA,,,,,
Pantanal_pasture_3,1.771587481,16.5398,3.741666667,NA,0.08,0.9,-1.373317532,1.764983921,1.029754038,2.301029996,26.4,3.113943352,8.865,7.615,7.865,8.31,1,6.545,,,,,
Pantanal_swamp_forest,1.169821329,16.4833,3.962513889,7.010989011,0.29440531,0.776941015,0.605237238,1.390498828,1.277106969,2.275067399,26.5,3.112939976,8.98,8.07,7.73,7.935,1,5.035,,,,,
Quebec_drained_bog,1.895477796,45.1189,5.01,5,0.614444445,0.576666667,1.164881355,1.500861326,1.346334208,2.177376155,7.6,2.969881644,9.516666667,7.886666667,7.966666667,8.59,7.886666667,7.426666667,,,,,
Romania_bog_1,1.177728836,47.2591,2.546666667,1,0.776666667,0.906666667,0.140926842,1.059437188,1.625776946,2.277227081,5.9,2.751279104,9.093333333,2.87,7.506666667,1,4.9,1,,,,,
Romania_bog_2,1.176669933,47.2591,2.554444445,1,0.841111111,0.787777778,-0.897337658,0.799417138,1.643315608,2.257678575,5.9,2.751279104,9.12,1,7.52,3.426666667,4.843333333,1,,,,,
Romania_bog_forest_1,1.18591972,47.2591,3.573333333,3,0.75,0.956666667,0.916980047,1.81349203,1.30669717,2.267171728,5.9,2.751279104,9.876666667,4.843333333,8.326666667,8.133333333,4.813333333,4.873333333,,,,,
Romania_bog_forest_2,1.267953537,47.2591,2.887777778,2.666666667,0.716666667,0.773333333,-0.41894839,1.141589116,1.38219914,2.241933676,5.9,2.751279104,9.776666667,2.75,7.996666667,7.846666667,5.596666667,5.79,,,,,
Siberia_bog,1.168006144,60.88,2.723333334,1.666666667,0.768888889,0.872222222,-0.575844608,-0.893544669,1.827594167,2.284806584,-0.6,2.717670503,8.326666667,2.89,6.506666667,1,3.096666667,3.423333333,,,,,
Siberia_bog_forest,1.167391188,60.88,2.585,3.25,0.806666667,0.906666667,-0.814363423,-0.373317534,1.871347901,2.194745534,-0.6,2.717670503,8.33,1,1,1,3.4625,1.8275,,,,,
Siberia_fen,1.178976947,60.91,4.073333334,1,0.348333334,0.935,-0.124167343,1.204721245,1.077418774,2.277227081,-0.6,2.713490543,9.38,7.93,8.395,8.6,6.135,5.705,,,,,
Taiwan_fen,1.146438135,22.2011,4.003333334,10,0.151666667,1.026027605,0,1.551677658,1.175879243,2.301029996,23.3,3.361538971,9.51,8.31,7.805,8.23,5.78,8.11,,,,,
Taiwan_recreation,1.143951116,22.2006,3.876666667,10,0.155,0.937074632,0,1.84510838,1.1890099,2.293362555,23.3,3.361538971,9.015,8.42,7.875,8.12,5.885,7.015,,,,,
