,Site,Latitude,N2O,Archaeal_amoA,nir,,,,
Y044,Bashkortostan_drained_fen,55.5476,2.37,7.81E+07,2.62E+09,,,,
Y045,Bashkortostan_drained_fen,55.5476,4.64,1.05E+08,2.12E+09,,,,
Y046,Estonia_drained_floodplain,58.4236,13.63,6.40E+07,7.08E+09,,,,
Y047,Estonia_drained_floodplain,58.4236,33.58,7.89E+07,5.00E+09,,,,
Y048,Estonia_drained_floodplain,58.4236,177.04,2.05E+08,1.68E+10,,,,
Y049,Florida_swamp_forest_1,26.38,4.57,3.46E+07,3.42E+09,,,,
Y050,Florida_swamp_forest_1,26.38,14.02,1.29E+07,1.13E+10,,,,
Y051,Florida_swamp_forest_1,26.38,19.20,9.11E+07,1.66E+10,,,,
Y052,Florida_swamp_forest_1,26.38,28.06,4.00E+08,8.00E+09,,,,
Y053,France_transitional_bog_1,47.32,1.15,8.27E+06,2.01E+09,,,,
Y054,France_transitional_bog_1,47.32,-0.43,2.04E+06,2.18E+09,,,,
Y055,Uganda_drained_fen_1,1.1202,688.78,1.63E+08,1.31E+09,,,,
Y056,Uganda_drained_fen_2,1.12,203.07,3.04E+08,3.39E+09,,,,
Y057,Uganda_drained_fen_2,1.12,193.90,1.11E+09,1.24E+10,,,,
Y058,Uganda_fen,1.342,29.11,3.40E+08,4.26E+09,,,,
Y059,Uganda_fen,1.342,-0.54,2.30E+08,4.13E+09,,,,
Y060,Uganda_drained_fen_1,1.342,239.69,3.92E+08,6.29E+09,,,,
Y061,Uganda_drained_fen_2,1.341695,146.70,9.23E+06,2.90E+10,,,,
Y062,Uganda_drained_fen_2,1.341695,254.97,1.75E+08,4.12E+09,,,,
Y063,Siberia_bog_forest,60.88,0.00,5.92E+03,1.11E+09,,,,
Y064,Siberia_bog_forest,60.88,-1.19,2.43E+01,3.04E+07,,,,
Y065,Siberia_bog,60.88,0.10,1.67E+03,2.48E+08,,,,
Y066,Siberia_bog,60.88,-0.93,9.07E+02,1.27E+08,,,,
Y067,Siberia_bog_forest,60.88,0.00,0.00E+00,9.50E+08,,,,
Y068,Siberia_bog,60.88,0.00,1.22E+04,3.05E+08,,,,
Y069,Siberia_bog_forest,60.88,0.00,0.00E+00,6.65E+07,,,,
Y070,Siberia_fen,60.91,0.20,2.43E+06,3.92E+09,,,,
Y071,Siberia_fen,60.91,0.00,1.06E+05,1.61E+09,,,,
Y072,France_transitional_bog_2,47.32,-0.55,1.32E+07,2.85E+09,,,,
Y073,France_transitional_bog_2,47.32,0.27,5.91E+06,3.00E+09,,,,
Y074,Estonia_floodplain,58.4142,2.53,2.98E+08,1.56E+10,,,,
Y075,Estonia_floodplain,58.4142,26.66,7.65E+07,4.82E+09,,,,
Y076,Estonia_floodplain,58.4142,0.00,1.18E+07,6.02E+09,,,,
Y077,Florida_swamp_forest_2,26.38,0.00,4.09E+07,2.22E+09,,,,
Y078,Florida_swamp_forest_2,26.38,3.67,7.51E+06,2.49E+09,,,,
Y079,Florida_swamp_forest_2,26.38,0.00,3.06E+08,2.19E+10,,,,
Y080,Florida_swamp_forest_2,26.38,0.00,6.33E+08,1.60E+10,,,,
Y081,Tasmania_blanket_bog,42.881,1.33,2.45E+03,2.64E+07,,,,
Y082,Tasmania_blanket_bog,42.881,-1.03,0.00E+00,2.00E+07,,,,
Y083,Tasmania_blanket_bog,42.881,0.00,0.00E+00,3.29E+06,,,,
Y084,Tasmania_drained_fen_1,40.866502,8.31,5.14E+05,8.05E+07,,,,
Y085,Tasmania_drained_fen_2,40.9231,10.48,9.03E+06,1.49E+10,,,,
Y086,Tasmania_fen,40.9234,0.98,1.98E+07,1.88E+09,,,,
Y087,Tasmania_raised_bog,42.1744,2.31,1.03E+05,1.33E+09,,,,
Y088,Tasmania_raised_bog,42.1744,-2.86,2.66E+06,1.11E+09,,,,
Y089,Tasmania_raised_bog,42.176794,0.00,5.99E+05,2.59E+10,,,,
Y090,New_Zealand_drained_fen_1,37.4333,74.59,9.93E+07,6.34E+08,,,,
Y091,New_Zealand_fen_1,37.4333,1.02,0.00E+00,1.98E+08,,,,
Y092,New_Zealand_fen_2,46.5356,5.18,1.21E+06,3.76E+09,,,,
Y093,New_Zealand_fen_2,46.5356,0.67,1.01E+07,2.40E+09,,,,
Y094,Romania_bog_forest_2,47.2591,11.06,5.30E+06,6.55E+09,,,,
Y095,Romania_bog_2,47.2591,0.42,0.00E+00,5.38E+09,,,,
Y096,Romania_bog_2,47.2591,-0.22,0.00E+00,2.05E+08,,,,
Y097,Romania_bog_2,47.2591,-0.14,0.00E+00,2.11E+09,,,,
