Sample_name,SITE,Archaeal_diversity,Bacterial_diversity,Fungal_diversity,DistEqu,pH,MAT
LG6,Montana_Bog_1,0,6.44687879,1.854081322,45.524884,4.74,41
g_4.10,Kyrgyzstan_drained_fen,3.49591752,6.94731874,1.117605418,41.7612,7.02,-11
P2_0-10,French_Pyrenees_fen,4.05870835,7.09344461,0.734179528,42.8032,5.27,68
B9-10,Tasmania_blanket_bog,0,5.5996903,1.791275827,42.881,2.95,102
MYa_15-10,Borneo_drained_swamp,2.925869,5.40050317,1.772342083,5.323896,2.22,272
CTp8_0-10,Catalonia_transitional_bog,2.27186851,6.71529413,2.242916905,42.6282,4.39,54
TW_f6_20-30,Taiwan_fen,4.50517813,6.84067063,1.813831685,22.2011,3.87,233
V1-10,Siberia_bog,2.60926519,4.95779999,0.875292622,60.88,2.58,-6
RS_1-10,Uganda_drained_fen_2,3.4126227,6.95359726,1.72356674,1.341695,5.04,178
I1-10,Bashkortostan_fen,3.61542631,6.41617652,1.436306828,55.4804,6.24,41
KL_3-10,Uganda_drained_fen_2,3.12457283,6.52611761,1.1864399,1.12,4,180
B4-10,Tasmania_blanket_bog,1.05472092,5.48638205,1.947105988,42.881,2.98,102
f_11.10,Kyrgyzstan_fen_2,3.97645094,6.37328052,0.185501988,41.894,5.89,-21
RL_2.1_0-10,Romania_bog_2,2.09392308,4.09246606,1.261116864,47.2591,2.66,59
RS_3_0-10,Romania_bog_forest_2,1.98012435,3.99365267,1.539943874,47.2591,2.71,59
OI_2_0-10,Iceland_drained_fen,2.07371437,6.55190961,1.24813143,64.8332,3.99,45
RH_2_0-10,Romania_bog_forest_2,1.52295507,5.83614634,1.544128896,47.2591,3.44,59
GBa_2-10,Wales_fen,2.74820061,4.93131657,1.918650733,53.0001,3.9,79
Looduslik_3______0-10,Romania_bog_1,2.02937814,5.61036802,1.695720737,47.2591,2.46,59
RL_1.2_0-10,Romania_bog_2,1.03972077,5.72698308,1.686338857,47.2591,2.55,59
RL_1.1_0-10,Romania_bog_2,2.09472905,5.05355125,1.250427047,47.2591,2.59,59
MX_g_5-5,Mexico_chinampa_2,2.86096471,6.73932711,1.36838325,19.29,7.9,167
MMg08,Myanmar_drained_fen_2,4.71983783,7.16782592,1.655944256,20.639371,6.81,229
KIu_3-10,Uganda_fen,3.29855917,5.88525658,1.17662582,1.342,3.56,183
B2-10,Tasmania_blanket_bog,0,4.99132908,1.208687061,42.881,2.78,102
KK2,Estonia_drained_floodplain,2.46408849,6.75519333,1.574527443,58.4236,6.42,57
LA_9_0-10,Morocco_bog_1,2.04319187,6.98123669,1.181179628,35.2703,4.53,179
RH_1_0-10,Romania_bog_forest_2,2.19749862,5.52706708,2.035515431,47.2591,3.23,59
S_6-10,Bashkortostan_drained_fen,3.23609256,7.11637474,1.435837561,55.5476,7.22,42
CTp2_0-10,Catalonia_transitional_bog,1.60943791,6.50602455,1.562496976,42.6282,4.79,54
