,Bacteria,Archaea,Arch-amoA,Bac-amoA,comammox,nirK,nirS,nrfA,nosZI,nosZII,n.damo,nifH,,,,,,,,,,,,
Y080,11.320803,10.961333,8.801655,6.632467,6.356841,10.083286,9.588894,6.141338,8.849275,9.257262,7.413592,10.041898,,,,,,,,,,,,
Y081,9.375811,6.879689,3.391507,5.124941,1,7.420864,1,3.625886,5.768111,1,3.785708,8.53743,,,,,,,,,,,,
Y082,9.16524,7.461672,1,4.298135,1,7.205185,6.597151,3.613599,5.540351,1,3.083152,8.112324,,,,,,,,,,,,
Y083,8.919226,6.285494,1,4.189189,1,6.516595,1,1,5.480707,1,1,7.636483,,,,,,,,,,,,
Y084,9.69223,8.328044,5.71127,6.758508,1,7.833009,7.092916,3.809563,8.454113,7.110455,5.491808,8.428177,,,,,,,,,,,,
Y085,10.540681,9.703569,6.955507,8.221713,6.996092,10.16844,8.238935,4.363773,8.272712,8.511656,5.524191,8.398748,,,,,,,,,,,,
Y086,10.835136,9.939361,7.295973,6.916247,6.029868,9.209386,8.414742,5.44097,8.032979,8.628596,7.096785,9.850918,,,,,,,,,,,,
Y087,10.318752,9.632461,5.011812,4.835777,6.203956,9.122454,1,5.207284,6.523085,7.896503,5.890847,10.452695,,,,,,,,,,,,
Y088,10.116912,8.375559,6.425687,5.644614,4.430871,9.041029,6.874665,4.63513,7.735468,1,5.893,8.36613,,,,,,,,,,,,
Y089,11.278238,9.834931,5.777779,6.094537,1,10.398259,8.94768,3.882016,6.936409,1,7.314251,10.449703,,,,,,,,,,,,
Y090,10.689556,8.950817,7.996733,7.235453,1,8.774547,7.592268,4.71718,7.311965,8.174363,5.741759,9.408291,,,,,,,,,,,,
Y091,10.293634,7.340738,1,4.262249,4.938928,8.295307,5.656529,4.465642,5.895118,1,5.610516,9.464638,,,,,,,,,,,,
Y092,10.677143,9.270681,6.083055,6.832223,1,9.526668,8.601291,5.217872,7.604071,7.954354,5.646324,10.004564,,,,,,,,,,,,
Y093,10.571507,9.122826,7.004099,6.636351,4.794475,9.346,8.249116,4.945196,7.258115,7.481859,5.542241,9.749622,,,,,,,,,,,,
Y094,11.079658,9.619506,6.724422,5.542562,1,9.816076,6.250343,5.5565,7.861995,7.862897,7.972887,10.169637,,,,,,,,,,,,
Y095,10.770403,9.081387,1,6.059723,5.476268,9.730732,1,4.166507,8.231914,8.277021,6.675515,9.881194,,,,,,,,,,,,
Y096,9.276612,8.038999,1,3.859009,1,8.310798,1,2.308287,6.692782,1,4.994016,8.497345,,,,,,,,,,,,
Y097,10.320798,8.810369,1,4.605015,1,9.324737,1,3.343462,7.642331,1,6.306572,8.986036,,,,,,,,,,,,
