,Site,N2O,nirK,nirS,nrfA,nosZI,nosZII,Bac-amoA,Arch-amoA,n-damo,comammox
Y149,Kyrgyzstan_drained_fen,-1.80,10.27915189,9.065676,5.25E+00,8.489891741,7.37152365,5.601202749,6.428191875,6.911232942,6.003522474
Y150,Kyrgyzstan_fen_1,-0.62,9.920260015,8.311608032,5.51E+00,7.222394742,7.574639874,5.109492742,1,6.592478242,4.932660277
Y151,Kyrgyzstan_fen_1,0.00,9.970240427,9.007586601,5.50E+00,7.697098205,8.02517436,5.090231156,4.820517467,6.818292927,4.764744616
Y152,Kyrgyzstan_fen_2,0.18,9.812482058,9.213628308,5.76E+00,7.716225794,7.883985964,5.391378771,1,6.898897778,1
Y153,Kyrgyzstan_fen_2,0.00,10.28166987,8.549067838,5.91E+00,7.539158861,7.814839103,5.87190711,5.519720065,7.246878847,5.409868678
Y154,Myanmar_drained_fen_1,76.71,8.879197277,8.341005168,4.99E+00,7.824026777,8.480149641,6.85319545,7.298433234,5.740916724,5.773692807
Y155,Myanmar_drained_fen_1,212.98,8.284946653,7.448707437,3.80E+00,7.063470007,7.772592963,6.122596911,6.183255481,1,4.948990581
Y156,Myanmar_drained_fen_2,66.31,10.09578302,9.06784668,5.91E+00,8.598661619,9.38037048,6.807850058,8.195978396,7.014897074,5.938952087
Y157,Myanmar_drained_fen_1,153.89,9.377789108,8.964242048,4.79E+00,8.366059687,8.900584769,7.343487415,8.168914489,6.430230488,6.544891924
Y158,Myanmar_drained_fen_2,-0.28,9.678790181,8.802791796,4.95E+00,8.413486212,9.164455759,7.273643139,8.317320069,6.707192722,6.366550138
Y159,Myanmar_fen,0.00,10.31231973,9.669949155,5.60E+00,8.93898583,9.630445753,6.45469737,8.499439946,6.786014622,6.653266384
Y160,Myanmar_drained_fen_2,68.02,9.735756304,8.886644495,4.84E+00,8.495562493,9.122471888,7.11302745,8.607941006,6.55591302,6.491948078
Y161,Myanmar_drained_fen_1,88.00,9.39512884,9.035208069,5.06E+00,8.230728052,8.970610201,6.820759926,7.997952071,6.352699078,6.541489159
Y162,Myanmar_fen,8.05,10.16458259,9.517993849,6.59E+00,8.7780658,9.649986973,7.785031874,8.399002414,6.699029824,6.788441691
Y163,Borneo_drained_swamp,446.46,8.334220136,1,0.00E+00,7.124056733,6.048722425,1,7.723367882,1,1
Y164,Borneo_drained_swamp,209.11,8.431606484,1,3.84E+00,7.063748302,6.571099285,1,7.618723731,1,1
Y165,Borneo_swamp_forest,25.82,9.362754271,5.971312857,3.77E+00,7.756290223,7.373482289,1,8.255301084,1,1
Y166,Borneo_swamp_forest,71.07,9.335705307,6.001749421,3.92E+00,7.363796872,7.222223253,1,7.832581522,1,1
Y167,Borneo_swamp_forest,1.22,9.178138073,5.986928404,4.75E+00,7.442685407,7.066856163,1,7.703592702,1,1
Y168,Borneo_swamp_forest,45.09,9.506012154,5.968175264,5.43E+00,8.089636459,7.633861386,1,8.655334397,1,1
Y169,Borneo_drained_swamp,113.17,8.506905873,1,0.00E+00,7.698637251,7.205582725,1,7.979355583,1,1
Y170,Borneo_drained_swamp,224.85,8.978297651,1,3.93E+00,7.747872869,7.288480114,1,7.953188414,1,1
Y171,Montana_Bog_2,-0.14,10.23451158,9.007324206,5.62E+00,7.954294238,8.520877442,6.698468947,7.326913082,6.771802168,5.817887731
Y172,Montana_Bog_2,-0.47,10.5458915,9.528704129,5.99E+00,8.246250446,8.811958293,7.453572283,7.408198421,7.273193044,5.83630525
Y173,Montana_Bog_2,0.00,10.16591559,9.025355406,5.58E+00,7.863865352,8.598514493,6.24203244,6.909133022,6.768483055,5.630182541
Y174,Montana_Bog_1,-1.71,10.10744971,7.648868763,5.30E+00,8.360408572,7.715146739,3.906857306,1,6.362697975,1
Y175,Montana_Bog_1,-0.61,10.27244612,7.913309067,5.28E+00,8.479277485,7.747781036,4.197349006,4.67095168,6.710771691,1
Y176,Montana_Bog_1,-0.44,10.20314039,8.089736152,4.87E+00,8.537795259,7.610853043,4.295761225,5.145928029,6.221803977,1
Y177,Taiwan_recreation,-1.07,9.156753738,8.337200354,5.42E+00,7.825681184,8.126591066,5.684294649,7.305596048,6.661312008,5.456412108
Y178,Taiwan_recreation,-1.07,8.874749279,8.502386788,4.93E+00,7.920910341,8.11355774,6.091528466,6.715640321,4.046796768,6.159559675
Y179,Taiwan_fen,-0.99,9.816770354,8.511404776,6.27E+00,8.20336321,8.304344234,6.046962848,8.173942602,6.515709963,5.885785098
Y180,Taiwan_fen,-0.99,9.198746244,8.109376207,5.87E+00,7.40764925,8.158161399,5.510857135,8.054009038,6.769503734,5.604010268
Y181,Finland_fen,-0.03,9.733832437,7.182193923,5.70E+00,7.622070847,7.767216207,5.475835485,4.384329975,6.404706445,1
Y182,Finland_fen,-0.45,9.289421387,6.611299436,0.00E+00,7.123562719,1,4.633911151,3.549144736,5.905415658,1
Y183,Finland_fen,-0.41,9.615856582,7.01097135,5.38E+00,7.174830605,1,5.740290308,4.549805305,6.416067183,1
Y184,Finland_drained_fen,-0.52,9.984391246,1,5.06E+00,6.352602085,7.038902728,5.794180753,4.935859969,6.549965743,1
Y185,Finland_drained_fen,-0.59,10.2007989,1,5.13E+00,7.013678066,7.495758095,6.102308824,4.912571491,6.544929508,1
Y186,Finland_drained_fen,-1.01,10.59143333,6.132051335,5.70E+00,7.322512948,8.304751119,6.877439415,5.111625498,7.549043027,1
Y187,Finland_drained_fen,-0.52,10.19713975,6.147536476,5.36E+00,6.988885823,7.794781744,5.649248089,4.844866396,6.427013239,1
Y188,Finland_drained_fen,-1.03,10.39178143,6.471368561,5.10E+00,7.267602206,8.021176499,6.930288723,4.799988957,7.055360392,1
Y189,Finland_drained_fen,-1.26,10.49344302,6.758623287,5.37E+00,7.314486703,8.121309111,7.446615933,4.753397796,7.355589504,1
Y190,Uganda_rice_paddy,0.00,9.611236842,8.35162122,4.75E+00,7.795907265,8.002539472,5.09837676,6.728148212,5.439023121,5.607681896
Y191,Uganda_rice_paddy,8.73,9.496170062,8.274800495,4.79E+00,7.850275715,7.646985564,5.656803478,6.896821377,5.318168544,5.4668803
Y192,Uganda_rice_paddy,2106.08,9.64651837,8.40426339,5.12E+00,7.915072541,7.915731038,5.791691672,6.70777748,5.475685854,5.650493403
